date,CPOM,bod,nutrient,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD,tot.OM,leaf.OM,sed.OM,days.elap,sod.OM
2014-06-12,yes,13,no,25.5,0.024194059584898,0.16369175285571,0.077983884810969,0.198954182735459,4.86666666666667,1.77549360945924,3.32425,0.0750499999999998,3.2492,2,35.8917562023498
2014-06-12,yes,4,yes,25.5,0.017194357544707,0.17711312212842,0.12083389603646,0.206805683759994,4.25,1.44490399535353,3.32425,0.0750499999999998,3.2492,2,29.2088586862472
2014-06-17,no,3,no,25.3,0.00834821459993722,0.216057675632945,0.182521758605221,0.224262831604907,4.66666666666667,0.638893974484992,3.2492,0,3.2492,7,13.2136141466796
2014-06-17,no,5,no,25.3,0.011576875241414,0.207485759921914,0.161363884706884,0.219248260913954,4.58333333333333,0.902094174655634,3.2492,0,3.2492,7,18.6571243804194
2014-06-17,no,9,no,25.3,0.0136845578960555,0.212108854946327,0.15590201010896,0.224324799589237,4.5,1.08607602349647,3.2492,0,3.2492,7,22.4622395601879
2014-06-17,no,8,no,25.3,0.00947520785739347,0.224151457740169,0.181621654850665,0.228997694137633,4.15,0.815422362942639,3.2492,0,3.2492,7,16.8645767541996
2014-06-17,no,7,yes,25.3,0.0110320597829594,0.227851302768303,0.176001804564295,0.231162103479092,4.03333333333333,0.97686479778271,3.2492,0,3.2492,7,20.2035314572812
2014-06-17,no,15,yes,25.3,0.00928260015949092,0.234865094711324,0.188852170968304,0.235265171765759,3.83333333333333,0.864838524176172,3.2492,0,3.2492,7,17.886602494349
2014-06-17,no,2,yes,25.3,0.00979543734756434,0.224300245040583,0.180107547970554,0.229084734708375,3.78333333333333,0.924679422362901,3.2492,0,3.2492,7,19.1242327904675
2014-06-17,no,14,yes,25.3,0.010955199614261,0.210150014778244,0.16795678601071,0.222732784082015,3.71666666666667,1.05270976434282,3.2492,0,3.2492,7,21.7721581201027
2014-06-17,yes,6,no,25.3,0.0167901366694872,0.198103702083344,0.129809073730954,0.21375975707839,4.28333333333333,1.39995580901783,3.32425,0.0750499999999998,3.2492,7,28.3002272289985
2014-06-17,yes,1,no,25.3,0.0191062210147636,0.236895095021366,0.140921616873315,0.236452721947133,4.25,1.60556479115661,3.32425,0.0750499999999998,3.2492,7,32.4566305078511
2014-06-17,yes,13,no,25.3,0.0182905994494634,0.209103913106663,0.128741883279715,0.220194880527032,4.21666666666667,1.5491755603724,3.32425,0.0750499999999998,3.2492,7,31.3167173518913
2014-06-17,yes,12,no,25.3,0.0163051367838764,0.177321340004791,0.120076391343055,0.201602075262437,4.46666666666667,1.30371562770867,3.32425,0.0750499999999998,3.2492,7,26.3547236766255
2014-06-17,yes,11,yes,25.3,0.0195224315469164,0.223670165495517,0.13110398043993,0.228716138174512,3.9,1.78776845667733,3.32425,0.0750499999999998,3.2492,7,36.1398932958461
2014-06-17,yes,4,yes,25.3,0.0190484377653938,0.201708255219778,0.120626231836235,0.215868420663204,3.96666666666667,1.71504541705227,3.32425,0.0750499999999998,3.2492,7,34.66979078767
2014-06-17,yes,16,yes,25.3,0.0165557733528361,0.191130822696051,0.126901755872643,0.209680622636824,3.93333333333333,1.50324818579021,3.32425,0.0750499999999998,3.2492,7,30.3882915199223
2014-06-17,yes,10,yes,25.3,0.0232030763925371,0.186651555786483,0.0910448695320414,0.207060251494727,3.95,2.09792734109738,3.32425,0.0750499999999998,3.2492,7,42.4097818520702
2014-06-24,no,3,no,23.4,0.0115855075973977,0.227820922472395,0.174941742144483,0.232869280131472,5.11666666666667,0.808667352075226,3.2492,0,3.2492,14,16.7248695246384
2014-06-24,no,8,no,23.4,0.0106108091247776,0.233284466124687,0.183011407544175,0.236065453168063,5.06666666666667,0.747942372517216,3.2492,0,3.2492,14,15.4689546451917
2014-06-24,no,9,no,23.4,0.0101465302463994,0.23879990707276,0.188559334890688,0.239291986122685,4.85,0.747167175728969,3.2492,0,3.2492,14,15.4529220143379
2014-06-24,no,7,yes,23.4,0.0100614225196037,0.230240947119567,0.183977881952049,0.234284994550068,4.4,0.816673905811992,3.2492,0,3.2492,14,16.8904611813879
2014-06-24,no,14,yes,23.4,0.0111388467115571,0.248172069489898,0.189080467578926,0.244774701136711,4.55,0.87432077798721,3.2492,0,3.2492,14,18.082714600745
2014-06-24,no,15,yes,23.4,0.00806281251013326,0.232549860115026,0.195321646101744,0.235635708652411,4.21666666666667,0.682903374658379,3.2492,0,3.2492,14,14.1238171787034
2014-06-24,no,2,yes,23.4,0.00680289165853469,0.23288708056457,0.201818524322721,0.235832982615394,4.18333333333333,0.580781871815711,3.2492,0,3.2492,14,12.0117388237153
2014-06-24,no,5,no,23.4,0.0127557618861455,0.253623017391836,0.185548433995482,0.24932724342621,4.98333333333333,0.914173092652568,3.2492,0,3.2492,14,18.9069407319502
2014-06-24,yes,13,no,23.4,0.0172099889197052,0.194933561782489,0.127580229529351,0.213630174127877,5.18333333333333,1.1858053918033,3.32425,0.0750499999999998,3.2492,14,23.9711581045895
